name,volume,lnJ,dlnJ_charm,det,crossing,r2,improvement
L10n29{0},13.318458109849056,3.094882432030629,0.19743911463737573,52,10,0.44396919779343413,0.003171359158028575
"L11n405{1,1}",13.465863542503,3.1571527992358024,0.25970948184254894,64,11,0.4437890416387067,0.002991203003301135
"L11n405{0,1}",13.465863542503,3.157152799235803,0.2597094818425494,64,11,0.4437890416387067,0.002991203003301135
"L11n405{1,0}",13.465863542503,3.157152799235803,0.2597094818425494,64,11,0.4437890416387067,0.002991203003301135
"L11n405{0,0}",13.465863542503,3.1571527992358024,0.25970948184254894,64,11,0.4437890416387067,0.002991203003301135
L11n231{0},13.086158862089235,3.0049986081356668,0.10755529074241332,52,11,0.4437757084233085,0.0029778697879029314
L11n231{1},13.086158862089235,3.004998608135667,0.10755529074241377,52,11,0.4437757084233085,0.0029778697879029314
"L11a496{1,0}",13.294406317845628,3.096928548519145,0.19948523112589145,80,11,0.44348564378915123,0.0026878051537456704
"L11a496{0,0}",13.294406317845628,3.096928548519145,0.19948523112589145,80,11,0.44348564378915123,0.0026878051537456704
"L11a496{1,1}",13.294406317845628,3.096928548519145,0.19948523112589145,80,11,0.44348564378915123,0.0026878051537456704
"L11a496{0,1}",13.294406317845628,3.096928548519145,0.19948523112589145,80,11,0.44348564378915123,0.0026878051537456704
"L11n260{0,0}",13.318458109849056,3.123794936637599,0.22635161924434577,52,11,0.44290231979305594,0.002104481157650384
"L11n260{1,0}",13.318458109849056,3.123794936637599,0.22635161924434577,52,11,0.44290231979305594,0.002104481157650384
"L11n260{0,1}",13.318458109849056,3.123794936637599,0.22635161924434577,52,11,0.44290231979305594,0.002104481157650384
"L11n260{1,1}",13.318458109849056,3.123794936637599,0.22635161924434577,52,11,0.44290231979305594,0.002104481157650384
L11n93{1},13.18178658506228,3.0765462124953493,0.17910289510209587,56,11,0.4426909667060904,0.0018931280706848685
L11n93{0},13.18178658506228,3.0765462124953493,0.17910289510209587,56,11,0.4426909667060904,0.0018931280706848685
L11n187{1},13.402971680716218,3.1658634844970814,0.268420167103828,62,11,0.44265676927860187,0.0018589306431963104
L11n187{0},13.402971680716218,3.165863484497082,0.26842016710382843,62,11,0.44265676927860187,0.0018589306431963104
L11n230{0},13.378378909957801,3.157366421358846,0.2599231039655927,60,11,0.44262687468093065,0.0018290360455250898
L11n230{1},13.378378909957801,3.157366421358846,0.2599231039655927,60,11,0.44262687468093065,0.0018290360455250898
